Title,Genre,Run Time,Rating,Number of Votes,Year,Certificate,Synopsis,Actors,Image
Battlestar Galactica,"Action, Adventure, Sci-Fi",60 min,7.2,"16,816",(1978–1979),Certificate N/A,"After the destruction of the Twelve Colonies of Mankind, the last major fighter carrier leads a makeshift fugitive fleet on a desperate search for the legendary planet Earth.","Lorne Greene, Richard Hatch, Dirk Benedict, Herbert Jefferson Jr.",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Frontier,"Adventure, Drama, History",60 min,7.1,"23,020",(2016–2018),Certificate N/A,"Follows Declan Harp, a half-Irish/half Cree Native-Canadian outlaw who is campaigning to breach the Hudson's Bay Company's monopoly on the fur trade in Canada.","Jason Momoa, Landon Liboiron, Zoe Boyle, Greg Bryk",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
National Treasure: Edge of History,"Action, Adventure, Mystery",50 min,5.8,"12,055",(2022–2023),Certificate N/A,"Jess Valenzuela, a 20-year-old Dreamer, sets off on an exploration to discover the mystery of her family history, and, with the help of her friends, seeks to recover historical lost treasure.","Lisette Olivera, Zuri Reed, Antonio Cipriano, Jordan Rodrigues",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Agent Carter,"Action, Adventure, Crime",42 min,7.8,"87,179",(2015– ),Certificate N/A,"In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis.","Hayley Atwell, James D'Arcy, Enver Gjokaj, Chad Michael Murray",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Spiderwick Chronicles,"Action, Adventure, Drama",Run Time N/A,Rating N/A,Votes N/A,(2023– ),Certificate N/A,"Follows the Grace Family, as they move into their ancestral home and unravel a dark mystery about their great-great Uncle who discovered the parallel, secret faerie world to their own.","Hunter Dillon, Alyvia Alyn Lind, Jack Dylan Grazer, Joy Bryant",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Bastard Son & the Devil Himself,"Action, Adventure, Drama",60 min,7.5,"13,012",(2022),Certificate N/A,"Caught between two warring clans, the son of a notorious witch responsible for a deadly massacre tries to find his place in the world — and his powers.","Jay Lycurgo, Nadia Parkes, Paul Ready, Isobel Jesper Jones",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Re:Zero kara Hajimeru Isekai Seikatsu,"Animation, Adventure, Drama",24 min,8.1,"21,907",(2016– ),Certificate N/A,"After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat itself.","Yûsuke Kobayashi, Rie Takahashi, Sean Chiplock, Rie Murakawa",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
V,"Action, Adventure, Sci-Fi",60 min,7.3,"13,458",(1984–1985),Certificate N/A,"A year after Liberation Day, courtesy of the red-dust bacteria, the humanoid, lizard-like aliens develop a resistance to the micro-organism and try to regain control of the Earth--only now, some humans are knowingly working with them.","Marc Singer, Faye Grant, Michael Ironside, Jane Badler",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Adventures of Superman,"Action, Adventure, Crime",30 min,7.7,"4,262",(1952–1958),Certificate N/A,"The Man of Steel fights crime with help from his friends at the ""Daily Planet.""","George Reeves, Noel Neill, Jack Larson, John Hamilton",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Nanatsu no taizai,"Animation, Action, Adventure",24 min,7.8,"35,849",(2014–2021),Certificate N/A,"The story of the Seven Deadly Sins, a group of warriors who were wrongly accused of a crime they didn't commit and went on a quest to vindicate themselves.","Bryce Papenbrook, Erika Harlacher, Max Mittelman, Cristina Valenzuela",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Valeria,"Adventure, Comedy, Drama",47 min,6.6,"7,285",(2020–2023),Certificate N/A,"Valeria is a writer who's hit a dead end with both her writing and her husband. She finds solace in her three friends: Carmen, Lola, and Nerea.","Diana Gómez, Silma López, Paula Malia, Teresa Riott",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Samurai Jack,"Animation, Action, Adventure",23 min,8.5,"57,258",(2001–2017),Certificate N/A,"A samurai, sent through time, fights to return home and save the world.","Phil LaMarr, Mako, Kevin Michael Richardson, Jeff Bennett",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dark Matter,"Adventure, Drama, Mystery",42 min,7.5,"44,061",(2015–2017),Certificate N/A,"In the dystopian 27th century, six people wake up on a deserted spaceship with no memory of who they are or what they're doing there. They reluctantly team up and set off to find answers with the help of a female android.","Melissa O'Neil, Anthony Lemke, Alex Mallari Jr., Jodelle Ferland",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
I Am Groot,"Animation, Short, Action",4 min,6.7,"36,161",(2022– ),Certificate N/A,A series of shorts featuring the seedling Groot along with several new and unusual characters.,"Vin Diesel, Fred Tatasciore, Bradley Cooper, Kaitlyn Robrock",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Colony,"Action, Adventure, Drama",42 min,7.3,"38,168",(2016–2018),Certificate N/A,"In the wake of a mysterious alien invasion, a family fights to stay together in a new world order.","Josh Holloway, Sarah Wayne Callies, Peter Jacobson, Tory Kittles",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Barbarians,"Action, Adventure, Drama",280 min,7.2,"29,050",(2020– ),Certificate N/A,"Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash.","Laurence Rupp, Jeanne Goursaud, David Schütter, Florian Schmidtke",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Wilds,"Adventure, Drama, Mystery",60 min,7.3,"24,161",(2020–2022),Certificate N/A,A group of teens must survive after a plane crash leaves them stranded on a deserted island. The girls tell their stories to investigators who slowly piece together what happened to them.,"Rachel Griffiths, Sophia Ali, Shannon Berry, Jenna Clause",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Monarch: Legacy of Monsters,"Action, Adventure, Sci-Fi",Run Time N/A,Rating N/A,Votes N/A,,Certificate N/A,"Set after the battle between Godzilla and the Titans, revealing that monsters are real, follows one family's journey to uncover its buried secrets and a legacy linking them to Monarch.","Christopher Heyerdahl, Mari Yamamoto, Qyoko Kudo, Josh Collins",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dokutaa Sutoon,"Animation, Action, Adventure",24 min,8.1,"24,992",(2019– ),Certificate N/A,"Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization.","Yûsuke Kobayashi, Manami Numakura, Ayumu Murase, Gen Satô",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Justice League,"Animation, Action, Adventure",22 min,8.6,"49,641",(2001–2004),Certificate N/A,Seven of the most formidable heroes form arguably the most powerful team ever.,"Carl Lumbly, Phil LaMarr, Michael Rosenbaum, George Newbern",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Stargirl,"Action, Adventure, Crime",566 min,7.2,"19,925",(2020–2022),Certificate N/A,Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics.,"Brec Bassinger, Trae Romano, Amy Smart, Luke Wilson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Shannara Chronicles,"Adventure, Drama, Fantasy",42 min,7.1,"62,591",(2016–2017),Certificate N/A,"Series of adventures, war, and evil that occur throughout the history of the Four Lands.","Austin Butler, Ivana Baquero, Manu Bennett, Aaron Jakubenko",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Revolution,"Action, Adventure, Drama",43 min,6.6,"85,163",(2012–2014),Certificate N/A,"Fifteen years after a permanent global blackout, a group of revolutionaries seek to drive out a tyrannical militia that's taken over the former United States of America.","Billy Burke, Tracy Spiridakos, Giancarlo Esposito, Zak Orth",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
DuckTales,"Animation, Action, Adventure",21 min,8.3,"11,286",(2017–2021),Certificate N/A,"The comedy-adventure series chronicles the high-flying adventures of trillionaire Scrooge McDuck; his temperamental nephew Donald Duck; grandnephews Huey, Dewey, and Louie; Launchpad McQuack; and Mrs. Beakley and her granddaughter Webby.","David Tennant, Ben Schwartz, Danny Pudi, Bobby Moynihan",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Sword Art Online,"Animation, Action, Adventure",24 min,7.5,"49,942",(2012– ),Certificate N/A,"In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape.","Yoshitsugu Matsuoka, Haruka Tomatsu, Bryce Papenbrook, Cherami Leigh",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
American Born Chinese,"Action, Adventure, Comedy",30 min,7.1,"5,381",(2023– ),Certificate N/A,"Jin Wang is an average teenager balancing high school and home life. When he meets a new foreign student on the first day of the school, even more worlds collide as Jin is unwittingly entangled in a battle with Chinese mythological gods.","Ben Wang, Michelle Yeoh, Yann Yann Yeo, Chin Han",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Fairy Tail: Fearî teiru,"Animation, Action, Adventure",24 min,7.9,"26,714",(2009–2019),Certificate N/A,"Lucy, an aspiring Celestial Wizard, becomes a friend and ally to powerful wizards Natsu, Gray, and Erza, who are part of the (in)famous wizard guild, Fairy Tail.","Cherami Leigh, Todd Haberkorn, Tia Lynn Ballard, Tetsuya Kakihara",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Fantasy Island,"Adventure, Family, Fantasy",60 min,6.6,"8,650",(1977–1984),Certificate N/A,"The mysterious Mr. Roarke runs a unique resort island in the Pacific Ocean that can fulfill any fantasy, but they rarely turn out as expected.","Ricardo Montalban, Hervé Villechaize, Wendy Schaal, Christopher Hewett",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Billy the Kid,"Adventure, Biography, Drama",49 min,7.2,"5,315",(2022– ),Certificate N/A,"An epic romantic adventure based on the life of Billy the Kid, from his humble Irish roots and his early days as a cowboy and gunslinger in the American frontier, to his pivotal role in the Lincoln County War and beyond.","Tom Blyth, Daniel Webber, Eileen O'Higgins, Sean Owen Roberts",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Agatha: Coven of Chaos,"Action, Adventure, Comedy",Run Time N/A,Rating N/A,Votes N/A,(2023– ),Certificate N/A,Plot kept under wraps.,"Kathryn Hahn, Patti LuPone, Miles Gutierrez-Riley, Aubrey Plaza",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spidey and His Amazing Friends,"Animation, Action, Adventure",22 min,5.9,818,(2021– ),Certificate N/A,"Follow Peter Parker, Gwen Stacy, and Miles Morales and their adventures as the young heroes team up with Hulk, Ms. Marvel, and Black Panther to take down foes like Rhino, Doc Oock, and Green Goblin.","Benjamin Valic, Jakari Fraser, Lily Sanfelippo, Nicolas Roye",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Real World/Road Rules Challenge,"Adventure, Reality-TV",30 min,8.0,"3,927",(1998– ),Certificate N/A,Reality television alumni and others compete to win cash prizes.,"T.J. Lavin, Johnny 'Bananas' Devenanzio, Chris 'C.T.' Tamburello, Aneesa Ferreira",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dirk Gently's Holistic Detective Agency,"Action, Adventure, Comedy",60 min,8.2,"55,240",(2016–2017),Certificate N/A,Holistic detective Dirk Gently investigates cases involving the supernatural.,"Samuel Barnett, Elijah Wood, Hannah Marks, Jade Eshete",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Teen Titans Go!,"Animation, Short, Action",10 min,5.5,"23,368",(2013– ),Certificate N/A,"Superhero roommates Robin, Cyborg, Starfire, Raven and Beast Boy love saving the day, but what happens when they're done fighting crime?","Greg Cipes, Khary Payton, Scott Menville, Tara Strong",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Airwolf,"Action, Adventure, Sci-Fi",60 min,6.7,"12,532",(1984–1986),Certificate N/A,"As part of a deal with an intelligence agency to look for his missing brother, a renegade pilot goes on missions with an advanced battle helicopter.","Jan-Michael Vincent, Alex Cord, Ernest Borgnine, Jean Bruce Scott",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Young Indiana Jones Chronicles,"Action, Adventure, Family",45 min,7.2,"8,409",(1992–1993),Certificate N/A,The adventures of the archaeological treasure hunter in his youth as related by an elderly Indiana Jones.,"Sean Patrick Flanery, George Hall, Corey Carrier, Ronny Coutteure",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Another Life,"Adventure, Drama, Mystery",43 min,5.3,"37,419",(2019–2021),Certificate N/A,Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.,"Katee Sackhoff, Samuel Anderson, A.J. Rivera, JayR Tinaco",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kage no Jitsuryokusha ni Naritakute!,"Animation, Action, Adventure",24 min,7.8,"3,694",(2022– ),Certificate N/A,"Cid Kagenou creates an elaborate plot to fight the Cult of Diabolos and builds his organization, the Shadow Garden.","Seiichiro Yamashita, Kana Hanazawa, Haruka Shiraishi, Inori Minase",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Fantasy Island,"Adventure, Drama, Fantasy",Run Time N/A,6.3,"5,220",(2021–2023),Certificate N/A,"People who walk in with a desire, but end up reborn to themselves through the magical realism of Fantasy Island.","Roselyn Sanchez, Kiara Barnes, John Gabriel Rodriquez, Daniel Lugo",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Fugitive,"Adventure, Crime, Drama",51 min,8.1,"4,474",(1963–1967),Certificate N/A,"A doctor, wrongly convicted for a murder he didn't commit, escapes custody and must stay ahead of the police to find the real killer.","David Janssen, William Conrad, Barry Morse, Paul Birch",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Justice League Unlimited,"Animation, Action, Adventure",23 min,8.7,"18,833",(2004–2006),Certificate N/A,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,"George Newbern, Kevin Conroy, Phil LaMarr, Carl Lumbly",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Around the World in 80 Days,"Adventure, Comedy, History",60 min,7.2,"11,207",(2021– ),PG,Gentleman adventurer Phileas Fogg sets out on a quest to travel around the world and back home in a period of 80 days.,"David Tennant, Ibrahim Koma, Leonie Benesch, Jason Watkins",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Made in Abyss,"Animation, Action, Adventure",325 min,8.4,"13,705",(2017– ),Certificate N/A,"A girl and her robot companion search for her mother, who's lost within a vast chasm.","Luci Christian, Brittany Lauda, Miyu Tomita, Mariya Ise",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Centennial,"Action, Adventure, Drama","1,256 min",8.3,"3,524",(1978–1979),Certificate N/A,The economic and cultural growth of Colorado spanning two centuries from the mid 1700s to the late 1970s.,"Raymond Burr, Barbara Carrera, Richard Chamberlain, Robert Conrad",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
3 Body Problem,"Adventure, Drama, Fantasy",60 min,Rating N/A,Votes N/A,(2024– ),Certificate N/A,"A fateful decision in 1960s China echoes across space and time to a group of scientists in the present, forcing them to face humanity's greatest threat.","Marlo Kelly, Saamer Usmani, Jess Hong, Jovan Adepo",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Skeleton Crew,"Action, Adventure, Sci-Fi",Run Time N/A,Rating N/A,Votes N/A,(2023– ),Certificate N/A,Add a Plot,"Jude Law, Kerry Condon, Ryan Kiera Armstrong, Tunde Adebimpe",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Sliders,"Adventure, Fantasy, Sci-Fi",60 min,7.4,"19,752",(1995–2000),Certificate N/A,"A boy genius and his comrades travel to different parallel universes, trying to find their way back home.","Jerry O'Connell, Sabrina Lloyd, John Rhys-Davies, Cleavant Derricks",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ninjago: Masters of Spinjitzu,"Animation, Action, Adventure",30 min,7.6,"6,584",(2011–2019),Certificate N/A,"When the fate of their world, Ninjago, is challenged by great threats, it's up to the ninja: Kai, Jay, Cole, Zane, Lloyd and Nya to save the world.","Michael Adamthwaite, Kelly Metzger, Kirby Morrow, Vincent Tong",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Alex Rider,"Action, Adventure, Drama",45 min,7.5,"16,062",(2020– ),Certificate N/A,"Alex Rider is an ordinary teenager enlisted to work on behalf of MI6, where he uses skills he didn't know he had to become an extraordinary spy.","Otto Farrant, Vicky McClure, Brenock O'Connor, Ronke Adekoluejo",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Remington Steele,"Action, Adventure, Comedy",60 min,7.2,"9,514",(1982–1987),Certificate N/A,The cases of a female private detective partnered with a former thief who assumes the role of a fictitious detective in the business.,"Stephanie Zimbalist, Pierce Brosnan, Doris Roberts, James Read",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Mosquito Coast,"Adventure, Drama, Thriller",60 min,6.8,"15,007",(2021–2023),Certificate N/A,"Follows the dangerous journey of a radical idealist and brilliant inventor, Allie Fox, who uproots his family for Mexico when they suddenly find themselves on the run from the US government.","Justin Theroux, Melissa George, Logan Polish, Gabriel Bateman",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Sharpe,"Action, Adventure, Drama",Run Time N/A,8.4,"1,936",(1993–2008),Certificate N/A,"A series of stories starring Sean Bean as Richard Sharpe, a fictional British soldier in the Napoleonic Wars as he fights both Napoleon's forces and the strong prejudice of British aristocracy.","Sean Bean, Daragh O'Malley, John Tams, Jason Salkey",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Incredible Hulk,"Action, Adventure, Drama",60 min,7.0,"15,387",(1977–1982),Certificate N/A,A fugitive scientist has the curse of becoming a powerful green monster under extreme emotional stress.,"Bill Bixby, Lou Ferrigno, Jack Colvin, Charles Napier",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The North Water,"Adventure, Drama, Mystery",300 min,7.6,"15,020",(2021),Certificate N/A,"A disgraced former military doctor embarks as a surgeon aboard a whaler bound for the Arctic, where his quest for redemption becomes a fight for survival.","Jack O'Connell, Colin Farrell, Sam Spruell, Roland Møller",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek Continues,"Action, Adventure, Sci-Fi",45 min,8.1,"3,198",(2013–2017),Certificate N/A,The further adventures of the crew of the USS Enterprise.,"Vic Mignogna, Todd Haberkorn, Christopher Doohan, Grant Imahara",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jupiter's Legacy,"Action, Adventure, Drama",56 min,6.7,"40,269",(2021),Certificate N/A,"The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalty.","Josh Duhamel, Ben Daniels, Leslie Bibb, Andrew Horton",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Wars: Resistance,"Animation, Action, Adventure",30 min,5.3,"7,017",(2018–2020),Certificate N/A,"Kazuda Xiono, a young pilot for the Resistance, is tasked with a top secret mission to investigate the First Order, a growing threat in the galaxy.","Christopher Sean, Scott Lawrence, Josh Brener, Suzie McGrath",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
My Little Pony: Friendship Is Magic,"Animation, Adventure, Comedy",22 min,7.7,"22,084",(2010–2020),Certificate N/A,"After learning that her friends, as well as herself, are the magical Elements of Harmony, studious unicorn Twilight Sparkle is sent by her mentor, Princess Celestia, to Ponyville to study the magic of friendship with help from her friends.","Ashleigh Ball, Tara Strong, Tabitha St. Germain, Andrea Libman",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Andromeda,"Action, Adventure, Drama",43 min,6.6,"14,435",(2000–2005),Certificate N/A,Captain Dylan Hunt and the crew of the Andromeda Ascendant set out on a mission to rebuild the Systems Commonwealth 300 years after its fall.,"Kevin Sorbo, Lisa Ryder, Laura Bertram, Gordon Michael Woolvett",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Fall Guy,"Action, Adventure, Comedy",60 min,7.1,"8,392",(1981–1986),Certificate N/A,The adventures of a film stuntman who moonlights as a bounty hunter when movie work is slow.,"Lee Majors, Douglas Barr, Heather Thomas, Markie Post",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Beruseruku,"Animation, Action, Adventure",24 min,6.7,"6,940",(2016–2017),Certificate N/A,"Guts, ""The Black Swordsman"", is pursued by demons who are attracted to him, due to a demonic brand on his neck. His goal is to free himself, and his lover Casca, of this inescapable curse. ...                See full summary »","Max Mittelman, Sarah Anne Williams, Erik Scott Kimerer, Hiroaki Iwanaga",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spider-Man,"Animation, Action, Adventure",23 min,8.4,"33,912",(1994–1998),Certificate N/A,A young man with spider-like abilities fights crime as a superhero in New York City while trying to have a normal personal life.,"Christopher Daniel Barnes, Sara Ballantine, Edward Asner, Roscoe Lee Browne",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Amphibia,"Animation, Action, Adventure",23 min,8.3,"8,052",(2019–2022),Certificate N/A,"Ordinary Anne Boonchuy, 13, finds a music box that sends her to Amphibia, a world full of frogs, toads, and giant insects. With help from Sprig, she must adjust to life in Amphibia and discover the first true friendship in her life.","Brenda Song, Justin Felbinger, Bill Farmer, Amanda Leighton",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Scooby-Doo! Mystery Incorporated,"Animation, Adventure, Comedy",23 min,8.1,"15,967",(2010–2013),Certificate N/A,"Scooby-Doo and the gang attempt to solve creepy mysteries in the town of Crystal Cove, a place with a history of eerie supernatural events.","Frank Welker, Mindy Cohn, Grey Griffin, Matthew Lillard",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
X-Men,"Animation, Action, Adventure",23 min,8.4,"45,622",(1992–1997),Certificate N/A,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,"Cedric Smith, Cal Dodd, Lenore Zann, George Buza",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mech Cadets,"Animation, Action, Adventure",25 min,6.8,489,(2023– ),Certificate N/A,An underdog teen joins a group of young Cadets who've been chosen to bond with Robo Mechs from space and defend Earth against alien invaders.,"Brandon Soo Hoo, Aparna Brielle, Victoria Grace, Josh Sundquist",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ninjago: Dragons Rising,"Animation, Action, Adventure",22 min,7.6,429,(2023– ),Certificate N/A,"In the series, many legendary realms have suddenly combined into one, but their union is unstable. A Spinjitzu Ninja Master must train a new generation of heroes to help find Elemental Dragons who can save the planet before the forces of evil use the same dragon energy to destroy this new world.","Sam Vincent, Brian Drummond, Deven Christian Mack, Sabrina Pitre",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Legend of the Seeker,"Action, Adventure, Drama",44 min,7.6,"35,795",(2008–2010),Certificate N/A,"After the mysterious murder of his father, a son's search for answers begins a momentous fight against tyranny.","Craig Horner, Bridget Regan, Bruce Spence, Craig Parker",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Nautilus,"Action, Adventure, Drama",50 min,Rating N/A,Votes N/A,,Certificate N/A,"Based on Jules Verne's 20,000 Leagues Under The Sea, this action series will tell the origin story of Captain Nemo.","Shazad Latif, Jacob Collins-Levy, Cameron Cuffe, Benedict Hardie",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Robot Chicken,"Animation, Short, Adventure",11 min,7.7,"45,167",(2001– ),Certificate N/A,Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books.,"Seth Green, Matthew Senreich, Breckin Meyer, Tom Root",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Echo,"Action, Adventure, Crime",Run Time N/A,Rating N/A,Votes N/A,(2023–2024),Certificate N/A,"Maya Lopez must face her past, reconnect with her Native American roots and embrace the meaning of family and community if she ever hopes to move forward.","Alaqua Cox, Zahn McClarnon, Vincent D'Onofrio, Charlie Cox",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Shûmatsu no Valkyrie,"Animation, Action, Adventure",24 min,6.4,"7,979",(2021– ),Certificate N/A,"Every 1000 years, the Gods' Council assemble to decide the fate of humanity. After 7 million years of human history, the gods come to the decision that humans are irredeemable and must be extinct.","Kellen Goff, Tomoyo Kurosawa, Miyuki Sawashiro, Daisuke Namikawa",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jason of Star Command,"Action, Adventure, Family",30 min,6.5,390,(1978–1981),Certificate N/A,A young Space Command officer fights the evil space lord Dragos and his minions in his jurisdiction of the universe.,"Craig Littler, Sid Haig, Charlie Dell, Susan Pratt",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Yakusoku no Neverland,"Animation, Action, Adventure",23 min,8.2,"43,638",(2019–2021),Certificate N/A,"When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan.","Sumire Morohoshi, Mariya Ise, Shinei Ueki, Lynn",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Batman,"Animation, Action, Adventure",22 min,7.3,"12,912",(2004–2008),Certificate N/A,Billionaire Bruce Wayne fights crime and evil as the mysterious Batman.,"Rino Romano, Alastair Duncan, Evan Sabara, Danielle Judovits",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dune,"Adventure, Drama, Sci-Fi",265 min,6.9,"23,610",(2000),Certificate N/A,"A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel.","William Hurt, Alec Newman, Giancarlo Giannini, Uwe Ochsenknecht",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dragon Ball,"Animation, Action, Adventure",24 min,8.6,"63,101",(1995–2003),Certificate N/A,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.","Brice Armstrong, Steve Olson, Stephanie Nadolny, Zoe Slusar",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Da Vinci's Demons,"Adventure, Biography, Drama",60 min,7.9,"78,322",(2013–2015),Certificate N/A,"Follows Leonardo Da Vinci during his early days in Florence, as a young artist, inventor and dreamer, trying to change the future.","Tom Riley, Gregg Chilingirian, Eros Vlahos, Laura Haddock",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Courage the Cowardly Dog,"Animation, Adventure, Comedy",11 min,8.3,"48,764",(1999–2002),Certificate N/A,"The offbeat adventures of Courage, a cowardly dog who must overcome his own fears to heroically defend his unknowing farmer owners from all kinds of dangers, paranormal events and menaces that appear around their land.","Marty Grabstein, Thea White, Peter Fernandez, Simon Prebble",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
